Model,MDO3024
Firmware Version,1.30

Waveform Type,ANALOG
Point Format,Y
Horizontal Units,s
Horizontal Scale,0.001
Horizontal Delay,-0.0016
Sample Interval,1e-05
Record Length,1000
Gating,0.1% to 100.0%
Probe Attenuation,10
Vertical Units,V
Vertical Offset,0
Vertical Scale,0.5
Vertical Position,-0.02
,
,
,
Label,
TIME,CH2
2.56e-03,-0.17
2.57e-03,-0.27
2.58e-03,-0.25
2.59e-03,-0.29
2.60e-03,-0.21
2.61e-03,-0.31
2.62e-03,-0.29
2.63e-03,-0.39
2.64e-03,-0.33
2.65e-03,-0.29
2.66e-03,-0.29
2.67e-03,-0.27
2.68e-03,-0.19
2.69e-03,-0.13
2.70e-03,-0.39
2.71e-03,-0.35
2.72e-03,-0.39
2.73e-03,-0.39
2.74e-03,-0.23
2.75e-03,-0.29
2.76e-03,-0.37
2.77e-03,-0.37
2.78e-03,-0.27
2.79e-03,-0.43
2.80e-03,-0.27
2.81e-03,-0.31
2.82e-03,-0.45
2.83e-03,-0.25
2.84e-03,-0.33
2.85e-03,-0.27
2.86e-03,-0.33
2.87e-03,-0.43
2.88e-03,-0.29
2.89e-03,-0.33
2.90e-03,-0.45
2.91e-03,-0.29
2.92e-03,-0.33
2.93e-03,-0.33
2.94e-03,-0.27
2.95e-03,-0.21
2.96e-03,-0.29
2.97e-03,-0.27
2.98e-03,-0.25
2.99e-03,-0.31
3.00e-03,-0.25
3.01e-03,-0.31
3.02e-03,-0.37
3.03e-03,-0.15
3.04e-03,-0.33
3.05e-03,-0.31
3.06e-03,-0.27
3.07e-03,-0.39
3.08e-03,-0.15
3.09e-03,-0.15
3.10e-03,-0.37
3.11e-03,-0.37
3.12e-03,-0.41
3.13e-03,-0.17
3.14e-03,-0.41
3.15e-03,-0.13
3.16e-03,-0.33
3.17e-03,-0.19
3.18e-03,-0.35
3.19e-03,-0.27
3.20e-03,-0.37
3.21e-03,-0.19
3.22e-03,-0.11
3.23e-03,-0.29
3.24e-03,-0.29
3.25e-03,-0.25
3.26e-03,-0.15
3.27e-03,-0.33
3.28e-03,-0.19
3.29e-03,-0.29
3.30e-03,-0.23
3.31e-03,-0.27
3.32e-03,-0.35
3.33e-03,-0.31
3.34e-03,-0.11
3.35e-03,-0.33
3.36e-03,-0.09
3.37e-03,-0.15
3.38e-03,-0.21
3.39e-03,-0.11


